sequence,sequence_bodies,cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_EVE_et_s,event2_KERBIN_et_s,event3_KERBIN_et_s,event4_JOOL_et_s,leg1_path,leg1_tof_days,leg1_vdep_x_km_s,leg1_vdep_y_km_s,leg1_vdep_z_km_s,leg1_varr_x_km_s,leg1_varr_y_km_s,leg1_varr_z_km_s,leg2_path,leg2_tof_days,leg2_vdep_x_km_s,leg2_vdep_y_km_s,leg2_vdep_z_km_s,leg2_varr_x_km_s,leg2_varr_y_km_s,leg2_varr_z_km_s,leg3_path,leg3_tof_days,leg3_vdep_x_km_s,leg3_vdep_y_km_s,leg3_vdep_z_km_s,leg3_varr_x_km_s,leg3_varr_y_km_s,leg3_varr_z_km_s,leg4_path,leg4_tof_days,leg4_vdep_x_km_s,leg4_vdep_y_km_s,leg4_vdep_z_km_s,leg4_varr_x_km_s,leg4_varr_y_km_s,leg4_varr_z_km_s,flyby1_EVE_vinf_in_km_s,flyby1_EVE_vinf_out_km_s,flyby1_EVE_vinf_mismatch_km_s,flyby1_EVE_turn_required_deg,flyby1_EVE_turn_max_deg,flyby1_EVE_turn_margin_deg,flyby1_EVE_turn_excess_deg,flyby2_KERBIN_vinf_in_km_s,flyby2_KERBIN_vinf_out_km_s,flyby2_KERBIN_vinf_mismatch_km_s,flyby2_KERBIN_turn_required_deg,flyby2_KERBIN_turn_max_deg,flyby2_KERBIN_turn_margin_deg,flyby2_KERBIN_turn_excess_deg,flyby3_KERBIN_vinf_in_km_s,flyby3_KERBIN_vinf_out_km_s,flyby3_KERBIN_vinf_mismatch_km_s,flyby3_KERBIN_turn_required_deg,flyby3_KERBIN_turn_max_deg,flyby3_KERBIN_turn_margin_deg,flyby3_KERBIN_turn_excess_deg,sequence_len,event3_JOOL_et_s,event1_DUNA_et_s,flyby1_DUNA_vinf_in_km_s,flyby1_DUNA_vinf_out_km_s,flyby1_DUNA_vinf_mismatch_km_s,flyby1_DUNA_turn_required_deg,flyby1_DUNA_turn_max_deg,flyby1_DUNA_turn_margin_deg,flyby1_DUNA_turn_excess_deg,event1_KERBIN_et_s,event2_EVE_et_s,flyby1_KERBIN_vinf_in_km_s,flyby1_KERBIN_vinf_out_km_s,flyby1_KERBIN_vinf_mismatch_km_s,flyby1_KERBIN_turn_required_deg,flyby1_KERBIN_turn_max_deg,flyby1_KERBIN_turn_margin_deg,flyby1_KERBIN_turn_excess_deg,flyby2_EVE_vinf_in_km_s,flyby2_EVE_vinf_out_km_s,flyby2_EVE_vinf_mismatch_km_s,flyby2_EVE_turn_required_deg,flyby2_EVE_turn_max_deg,flyby2_EVE_turn_margin_deg,flyby2_EVE_turn_excess_deg,event3_DUNA_et_s,flyby3_DUNA_vinf_in_km_s,flyby3_DUNA_vinf_out_km_s,flyby3_DUNA_vinf_mismatch_km_s,flyby3_DUNA_turn_required_deg,flyby3_DUNA_turn_max_deg,flyby3_DUNA_turn_margin_deg,flyby3_DUNA_turn_excess_deg,event2_DUNA_et_s,flyby2_DUNA_vinf_in_km_s,flyby2_DUNA_vinf_out_km_s,flyby2_DUNA_vinf_mismatch_km_s,flyby2_DUNA_turn_required_deg,flyby2_DUNA_turn_max_deg,flyby2_DUNA_turn_margin_deg,flyby2_DUNA_turn_excess_deg,event3_EVE_et_s,flyby3_EVE_vinf_in_km_s,flyby3_EVE_vinf_out_km_s,flyby3_EVE_vinf_mismatch_km_s,flyby3_EVE_turn_required_deg,flyby3_EVE_turn_max_deg,flyby3_EVE_turn_margin_deg,flyby3_EVE_turn_excess_deg
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,46.08254235862286,4.811420826038792,1.5410751415821846,2.9946371526490103,0.2757085318075969,0.0,2.135729690576518,1704.0,"416448081.851686,436320081.851686,470016081.851686,520473681.851686,563673681.851686","230,390,584,500","left_cw0,left_cw0,right_cw1,0rev_cw1",416448081.8516864,436320081.8516864,470016081.8516864,520473681.8516864,563673681.8516865,left_cw0,230.0,11.095164471759928,-0.1450093530385134,-7.148337603278998,-17.612883210225654,0.12754052755530387,-6.9481618291887335,left_cw0,390.0,-18.084207411255846,-0.03321923471382632,-9.719409079474076,-9.816507263964898,0.14496196539704337,12.30603887116774,right_cw1,584.0,-9.974789229760475,-0.0015626770775269598,15.633599874153235,-18.442774338018875,-0.0007588167031036039,3.137237268099158,0rev_cw1,500.0,-19.402981601721255,2.322846228398036,0.6121285714189397,3.767238386732335,-0.4513659327788428,-0.06147594325993472,3.1248565876238152,2.967407452245331,0.15744913537848415,54.98037180210413,95.94961483582783,40.96924303372371,0.0,5.065182428784024,5.08807523197911,0.022892803195085243,38.345105177763706,43.06395211446491,4.718846936701206,0.0,5.071309076992539,4.975942483758511,0.09536659323402752,41.53124532761596,43.66697501819248,2.135729690576518,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,73.14206957650289,4.92401213593307,1.4724837855559654,2.9946371526490103,0.4568911977280945,0.0,2.135729690576518,1344.0,"447552081.851686,455328081.851686,470016081.851686,520473681.851686,563673681.851686","90,170,584,500","0rev_cw0,0rev_cw0,right_cw1,0rev_cw1",447552081.8516864,455328081.8516864,470016081.8516864,520473681.8516864,563673681.8516865,0rev_cw0,90.0,9.745950165509987,-0.009232371093136573,-9.092009669715702,-18.759022369760935,0.0091493676015256,-2.864626448965704,0rev_cw0,170.0,-19.28045185289365,8.02575524201034e-05,-6.423351063459885,-9.44563333284228,0.008200257377661644,12.288968267385052,right_cw1,584.0,-9.974789229760475,-0.0015626770775269598,15.633599874153235,-18.442774338018875,-0.0007588167031036039,3.137237268099158,0rev_cw1,500.0,-19.402981601721255,2.322846228398036,0.6121285714189397,3.767238386732335,-0.4513659327788428,-0.06147594325993472,2.79766111060304,2.797747044601878,8.593399883816133e-05,80.00199067974883,101.42725181820288,21.425261138454054,0.0,4.726636561483881,5.08807523197911,0.3614386704952288,40.15357659798974,45.028646484387075,4.875069886397335,0.0,5.071309076992539,4.975942483758511,0.09536659323402752,41.53124532761596,43.66697501819248,2.135729690576518,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,56.12188749300298,5.15825946210319,1.8808323100499962,2.936946468616765,0.3404806834364287,0.0,4.087575066671211,2292.0,"921024081.851686,940896081.851686,967680081.851686,992908881.851686,1119052881.85169","230,310,292,1460","left_cw0,right_cw0,0rev_cw1,left_cw1",921024081.8516864,940896081.8516864,967680081.8516864,992908881.8516864,1119052881.8516865,left_cw0,230.0,10.687473956542242,-0.2740129279104877,-7.408222292686418,-14.842039419735865,0.1449020526533827,-11.568278582190878,right_cw0,310.0,-13.951988299617117,-0.03418208409693503,-16.20765644996358,5.809561348339111,-0.314726745291925,-15.488911635746184,0rev_cw1,292.0,6.2912969653704325,0.0028951641926677945,-15.93883493187894,-17.272586280839604,-0.0004853819181407813,-3.2177542460535182,left_cw1,1460.0,-19.485677664376027,-0.27240779710944335,-1.691006865884007,3.170680041087094,0.04039237514713332,1.5760595828367796,3.8848335889029095,3.680514764600233,0.20431882430267656,77.29337137265958,81.38094643933078,4.087575066671211,0.0,6.571403753762039,6.606000692202519,0.03459693844048051,6.359072760041377,29.675292265423657,23.316219505382282,0.0,6.600463204618311,6.4988982839250395,0.10156492069327161,23.794408310814198,29.94444434746779,6.150036036653591,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-JOOL,KERBIN EVE KERBIN JOOL,35.26514310262482,5.300399353580485,2.0175303418404242,3.083484125525027,0.19938488621503403,0.0,2.2383941790133206,2200.0,"368064081.851686,387936081.851686,438912081.851686,558144081.851686","230,590,1380","left_cw0,left_cw0,left_cw1",368064081.8516864,387936081.8516864,438912081.8516864,,,left_cw0,230.0,6.549802048265805,-0.1495416746094857,-11.24407441586222,-17.519725142271916,0.053847391501284425,-6.654075272049376,left_cw0,590.0,-18.923815999138217,-0.00011811210441847741,-10.428485713977633,-13.785564556816968,0.18035437738411714,10.21450215200758,left_cw1,1380.0,-14.226041009158543,-0.5653862938353057,13.147620880134497,3.4056119503876565,0.08522085725740006,-1.2897001380569426,,,,,,,,,4.21172570984681,4.237929182261696,0.02620347241488563,56.93184290527377,73.77969596768239,16.847853062408614,0.0,6.920160378387899,6.7469789645877505,0.1731814138001484,25.82124268973658,28.0596368687499,2.2383941790133206,0.0,,,,,,,,4,558144081.8516865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,51.84318935768871,5.347333010300093,1.6694605975238135,3.3682362155169976,0.30963619725928204,0.0,2.421219084226101,2984.0,"340416081.851686,360288081.851686,393984081.851686,444441681.851686,598233681.851686","230,390,584,1780","left_cw1,left_cw0,right_cw1,left_cw0",340416081.8516864,360288081.8516864,393984081.8516864,444441681.8516864,598233681.8516865,left_cw1,230.0,11.548636515597721,-0.5536917697289665,6.4475242681273555,-3.4096029837823214,0.5234487867057296,-18.648448630938283,left_cw0,390.0,-0.9235506686642223,-0.03139207274298773,-20.491984878996988,-15.406795198393489,0.525217857593723,-3.920437983468049,right_cw1,584.0,-18.545880603529454,-0.00031235494102526545,-2.4515318093280127,-10.54544758803216,0.0006997955979063537,-15.265049459784715,left_cw0,1780.0,-9.819195399458227,-0.3612210239864174,-16.913156799836035,0.22871384111046322,0.07247628115285398,4.061876169603192,2.7502321278911297,2.7805084126841204,0.030276284792990715,69.29199683632119,102.16144858667275,32.86945175035156,0.0,5.303853349794324,5.07218982887545,0.23166352091887443,39.41030854131148,41.831527625537575,2.421219084226101,0.0,5.086658793492198,5.134355185039615,0.047696391547416894,20.701341637104704,42.684180508580916,21.98283887147621,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,80.59495473129881,5.352484551267705,1.8808323100499962,2.968189558783256,0.5034626824344528,0.0,4.087575066671211,2252.0,"921024081.851686,940896081.851686,967680081.851686,992908881.851686,1115596881.85169","230,310,292,1420","left_cw0,right_cw0,0rev_cw1,left_cw1",921024081.8516864,940896081.8516864,967680081.8516864,992908881.8516864,1115596881.8516865,left_cw0,230.0,10.687473956542242,-0.2740129279104877,-7.408222292686418,-14.842039419735865,0.1449020526533827,-11.568278582190878,right_cw0,310.0,-13.951988299617117,-0.03418208409693503,-16.20765644996358,5.809561348339111,-0.314726745291925,-15.488911635746184,0rev_cw1,292.0,6.2912969653704325,0.0028951641926677945,-15.93883493187894,-17.272586280839604,-0.0004853819181407813,-3.2177542460535182,left_cw1,1420.0,-19.51559700603892,-0.40176763927297593,-1.4198823975128065,3.61274456930349,0.07304186561316228,0.5681045426685096,3.8848335889029095,3.680514764600233,0.20431882430267656,77.29337137265958,81.38094643933078,4.087575066671211,0.0,6.571403753762039,6.606000692202519,0.03459693844048051,6.359072760041377,29.675292265423657,23.316219505382282,0.0,6.600463204618311,6.335916284927015,0.26454691969129573,25.826977210870915,30.517374114928415,4.6903969040575015,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-DUNA-KERBIN-KERBIN-JOOL,KERBIN DUNA KERBIN KERBIN JOOL,76.39705310158172,5.359705460782035,1.661691243069862,3.222821489819504,0.4751927278926691,0.0,3.212349042398955,2176.0,"879552081.851686,910656081.851686,945216081.851686,1020902481.85169,1067558481.85169","360,400,876,540","right_cw1,left_cw1,left_cw1,0rev_cw1",879552081.8516864,,945216081.8516864,1020902481.8516864,1067558481.8516864,right_cw1,360.0,-2.6728501595455043,-0.026505539984041194,16.43624652589636,-7.8166305720919596,0.01094031954395775,-8.27624966679224,left_cw1,400.0,-7.064919659360101,-0.002905883552376705,-7.708605883284548,-12.948050749902528,-0.017032106604640187,9.81895548167811,left_cw1,876.0,-15.532061799904564,-0.002274363645333106,9.612132798829716,-2.7170474692758346,-0.0028587021215722374,17.810754108723664,0rev_cw1,540.0,0.34497788725835465,-1.233934116180539,19.217944574950902,1.8391698725399601,0.2285928538517392,-3.696063437611013,,,,,,,,4.742843114723754,4.510771758551965,0.23207135617178842,32.41346544616859,48.546687454650026,16.13322200848144,0.0,4.542575511419734,4.499696517836902,0.04287899358283198,46.750077004100156,49.96242604649911,3.212349042398955,0.0,5,,910656081.8516864,3.008704596321408,3.2089469744594568,0.20024237813804868,17.036984831378053,23.79908189157236,6.762097060194309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,67.31805891576445,5.365086017129288,2.054145893728294,2.895960427944272,0.4149796954567222,0.0,5.982940430267486,1758.0,"292032081.851686,311904081.851686,362880081.851686,400723281.851686,443923281.851686","230,590,438,500","left_cw1,left_cw1,right_cw1,0rev_cw0",292032081.8516864,311904081.8516864,362880081.8516864,400723281.8516864,443923281.8516864,left_cw1,230.0,12.907197008038146,-0.4610123424872538,0.6790770017659623,-3.740404890642413,0.21446614686782448,-18.401803763810918,left_cw1,590.0,-0.5182090682684701,0.08790639916838985,-21.58641863873889,-15.083692479312798,0.5625415149046463,-8.413781402097957,right_cw1,438.0,-15.753397373114067,0.00038101429064456955,-8.573227173007849,10.072026369017738,0.0008655669770538205,-14.266396836794783,0rev_cw0,500.0,12.529110582374784,-0.4673129380375019,-14.491271012441839,-1.181115846737017,0.06876198282130784,3.286425282574331,3.926796513026883,3.9047065684413726,0.0220899445855105,70.71864211263345,79.0063752176213,8.287733104987858,0.0,7.105700567394484,7.263492586413454,0.1577920190189701,6.980089518477924,25.947523899497984,18.96743438102006,0.0,7.274502482398661,7.039404750546419,0.2350977318522416,20.122790977962115,26.1057314082296,5.982940430267486,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,78.86478014087312,5.382827545164644,1.8808323100499962,3.0104216062873843,0.49157362882726385,0.0,4.087575066671211,2332.0,"921024081.851686,940896081.851686,967680081.851686,992908881.851686,1122508881.85169","230,310,292,1500","left_cw0,right_cw0,0rev_cw1,left_cw1",921024081.8516864,940896081.8516864,967680081.8516864,992908881.8516864,1122508881.8516865,left_cw0,230.0,10.687473956542242,-0.2740129279104877,-7.408222292686418,-14.842039419735865,0.1449020526533827,-11.568278582190878,right_cw0,310.0,-13.951988299617117,-0.03418208409693503,-16.20765644996358,5.809561348339111,-0.314726745291925,-15.488911635746184,0rev_cw1,292.0,6.2912969653704325,0.0028951641926677945,-15.93883493187894,-17.272586280839604,-0.0004853819181407813,-3.2177542460535182,left_cw1,1500.0,-19.438890842415052,-0.17578968015923796,-2.21899447488255,2.6829676529388404,0.020297743159059554,2.2689100220827165,3.8848335889029095,3.680514764600233,0.20431882430267656,77.29337137265958,81.38094643933078,4.087575066671211,0.0,6.571403753762039,6.606000692202519,0.03459693844048051,6.359072760041377,29.675292265423657,23.316219505382282,0.0,6.600463204618311,6.853121070702418,0.2526578660841068,20.369722261303462,28.7489530875985,8.37923082629504,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERBIN-EVE-KERBIN-KERBIN-JOOL,KERBIN EVE KERBIN KERBIN JOOL,88.68918664222183,5.390861817763421,2.136794323212138,2.696280789994995,0.5577867045562868,0.0,1.9841669958847554,1664.0,"817344081.851686,835488081.851686,867456081.851686,917913681.851686,961113681.851686","210,370,584,500","left_cw0,left_cw1,right_cw1,0rev_cw0",817344081.8516864,835488081.8516864,867456081.8516864,917913681.8516864,961113681.8516864,left_cw0,210.0,-6.007464040517463,1.2586505768944611,12.235552743707792,3.4763851219469624,-1.658859002735117,-18.561614836841546,left_cw1,370.0,2.4137180130529035,-0.020195640166221294,-20.193455048620567,-14.372869890215078,0.5387554733897065,-6.27567515065694,right_cw1,584.0,-17.83736684967271,-0.00012487218066476705,-5.634424844730747,-7.761640828669597,0.0018930403134009748,-16.806385730834855,0rev_cw0,500.0,-5.186867447835289,-0.590920902330183,-18.727317721544303,1.4495689239882943,0.10839350728233638,3.3377188035224314,2.691957804393432,2.6538645922545845,0.03809321213884731,56.854763110838704,104.28792110056861,47.4331579897299,0.0,5.066195194579909,5.070394550286882,0.004199355706973051,41.17388144011583,43.158048436000584,1.9841669958847554,0.0,5.08666284642335,4.571168709712883,0.5154941367104664,39.08123547020594,45.97837616302532,6.897140692819379,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
