cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.189567640430449,7.121121370752147,4.4092519442204665,2.7118694265316803,0,0,,500.0,"727488081.851686,770688081.851686",500,0rev_cw1,727488081.8516864,770688081.8516864,0rev_cw1,500.0
7.231961718360884,7.158039747108317,4.402872207409154,2.7551675396991633,0,0,,540.0,"727488081.851686,774144081.851686",540,0rev_cw1,727488081.8516864,774144081.8516864,0rev_cw1,540.0
7.242632383804104,7.174186114125801,4.454979932893528,2.719206181232274,0,0,,500.0,"554688081.851686,597888081.851686",500,0rev_cw0,554688081.8516864,597888081.8516864,0rev_cw0,500.0
7.397541966926481,7.192203157891573,4.466965231444291,2.725237926447281,0,0,,1500.0,"822528081.851686,952128081.851686",1500,left_cw1,822528081.8516864,952128081.8516864,left_cw1,1500.0
7.412179578773834,7.201365068164662,4.454817382033873,2.746547686130789,0,0,,1540.0,"822528081.851686,955584081.851686",1540,left_cw0,822528081.8516864,955584081.8516864,left_cw0,1540.0
7.274213463618365,7.205767193940062,4.483823657717913,2.7219435362221494,0,0,,500.0,"191808081.851686,235008081.851686",500,0rev_cw1,191808081.8516864,235008081.8516864,0rev_cw1,500.0
7.439800953605526,7.228986442996354,4.46600296368561,2.762983479310744,0,0,,1540.0,"459648081.851686,592704081.851686",1540,left_cw1,459648081.8516864,592704081.8516865,left_cw1,1540.0
7.317570825298484,7.243648854045917,4.474176003146644,2.769472850899273,0,0,,540.0,"191808081.851686,238464081.851686",540,0rev_cw0,191808081.8516864,238464081.8516864,0rev_cw0,540.0
7.31255432492315,7.244108055244848,4.475500709235343,2.7686073460095044,0,0,,500.0,"364608081.851686,407808081.851686",500,0rev_cw1,364608081.8516864,407808081.8516864,0rev_cw1,500.0
7.453495944579175,7.248157135544267,4.553453888294783,2.6947032472494845,0,0,,1500.0,"649728081.851686,779328081.851686",1500,left_cw0,649728081.8516864,779328081.8516864,left_cw0,1500.0
7.610675297098155,7.2629682471323775,4.532353858297223,2.730614388835155,0,0,,2540.0,"917568081.851686,1137024081.85169",2540,left_cw0,917568081.8516864,1137024081.8516865,left_cw0,2540.0
7.626388584053284,7.267730130938979,4.410842007583206,2.8568881233557737,0,0,,2620.0,"727488081.851686,953856081.851686",2620,left_cw1,727488081.8516864,953856081.8516864,left_cw1,2620.0
7.344989149935417,7.276542880257114,4.563706610914672,2.7128362693424433,0,0,,500.0,"381888081.851686,425088081.851686",500,0rev_cw0,381888081.8516864,425088081.8516864,0rev_cw0,500.0
7.640251164651014,7.287068413110973,4.5241849618118035,2.7628834512991696,0,0,,2580.0,"554688081.851686,777600081.851686",2580,left_cw0,554688081.8516864,777600081.8516864,left_cw0,2580.0
7.4786112017032345,7.289699497391119,4.357271463200754,2.9324280341903646,0,0,,1380.0,"924480081.851686,1043712081.85169",1380,left_cw0,924480081.8516864,1043712081.8516864,left_cw0,1380.0
7.501478571333166,7.290664060723994,4.5797736803921705,2.7108903803318243,0,0,,1540.0,"649728081.851686,782784081.851686",1540,left_cw0,649728081.8516864,782784081.8516864,left_cw0,1540.0
7.648407437922414,7.295224686382372,4.460906323982003,2.83431836240037,0,0,,2580.0,"727488081.851686,950400081.851686",2580,left_cw1,727488081.8516864,950400081.8516864,left_cw1,2580.0
7.370303886885223,7.30185761720692,4.59961571082755,2.7022419063793706,0,0,,500.0,"19008081.8516864,62208081.8516864",500,0rev_cw0,19008081.851686403,62208081.8516864,0rev_cw0,500.0
7.37689731139672,7.302975340144153,4.459684229612107,2.843291110532045,0,0,,540.0,"900288081.851686,946944081.851686",540,0rev_cw0,900288081.8516864,946944081.8516864,0rev_cw0,540.0
7.387486342673342,7.308088669846511,4.466434164775399,2.841654505071112,0,0,,580.0,"727488081.851686,777600081.851686",580,0rev_cw1,727488081.8516864,777600081.8516864,0rev_cw1,580.0
7.520481007767284,7.315142198732376,4.577000680549739,2.7381415181826374,0,0,,1500.0,"459648081.851686,589248081.851686",1500,left_cw1,459648081.8516864,589248081.8516865,left_cw1,1500.0
7.398877637497376,7.3194799646705455,4.410862046403057,2.908617918267488,0,0,,580.0,"364608081.851686,414720081.851686",580,0rev_cw1,364608081.8516864,414720081.8516864,0rev_cw1,580.0
7.530627302310537,7.319812791701365,4.564702477266203,2.755110314435162,0,0,,1540.0,"286848081.851686,419904081.851686",1540,left_cw0,286848081.8516864,419904081.8516864,left_cw0,1540.0
7.673310217852995,7.325603167887218,4.628967064761793,2.6966361031254253,0,0,,2540.0,"744768081.851686,964224081.851686",2540,left_cw0,744768081.8516864,964224081.8516864,left_cw0,2540.0
7.5278404784320045,7.327977370971361,4.515349926944199,2.812627444027162,0,0,,1460.0,"822528081.851686,948672081.851686",1460,left_cw1,822528081.8516864,948672081.8516864,left_cw1,1460.0
7.681623544706033,7.33939219631452,4.523656821894273,2.8157353744202474,0,0,,2500.0,"917568081.851686,1133568081.85169",2500,right_cw0,917568081.8516864,1133568081.8516865,right_cw0,2500.0
7.544803771107704,7.339464962072796,4.623083517050348,2.716381445022449,0,0,,1500.0,"839808081.851686,969408081.851686",1500,left_cw0,839808081.8516864,969408081.8516864,left_cw0,1500.0
7.562587762687734,7.340821848930034,4.421596148224638,2.919225700705396,0,0,,1620.0,"96768081.8516864,236736081.851686",1620,left_cw1,96768081.8516864,236736081.85168642,left_cw1,1620.0
7.563198494627277,7.341432580869577,4.470644236816365,2.870788344053212,0,0,,1620.0,"459648081.851686,599616081.851686",1620,left_cw1,459648081.8516864,599616081.8516865,left_cw1,1620.0
7.411291665051371,7.342845395373068,4.563459694969422,2.7793857004036453,0,0,,500.0,"1728081.8516864,44928081.8516864",500,0rev_cw1,1728081.8516864013,44928081.8516864,0rev_cw1,500.0
7.539486714450259,7.34509930856388,4.369303387570048,2.975795920993831,0,0,,1420.0,"561600081.851686,684288081.851686",1420,left_cw0,561600081.8516864,684288081.8516864,left_cw0,1420.0
7.68903555248799,7.346804204096477,4.6026066067746205,2.744197597321856,0,0,,2500.0,"917568081.851686,1133568081.85169",2500,left_cw0,917568081.8516864,1133568081.8516865,left_cw0,2500.0
7.422768859350867,7.354322589672565,4.628870941630282,2.7254516480422826,0,0,,500.0,"917568081.851686,960768081.851686",500,0rev_cw0,917568081.8516864,960768081.8516864,0rev_cw0,500.0
7.570771410928218,7.354481198744782,4.482343103983394,2.872138094761388,0,0,,1580.0,"96768081.8516864,233280081.851686",1580,left_cw1,96768081.8516864,233280081.85168642,left_cw1,1580.0
7.720667867940007,7.356533713251437,4.416482921393663,2.940050791857774,0,0,,2660.0,"364608081.851686,594432081.851686",2660,left_cw1,364608081.8516864,594432081.8516865,left_cw1,2660.0
7.552205344188719,7.35781793830234,4.384402592813984,2.9734153454883554,0,0,,1420.0,"924480081.851686,1047168081.85169",1420,left_cw1,924480081.8516864,1047168081.8516864,left_cw1,1420.0
7.727562116407697,7.363427961719127,4.4708604768401985,2.892567484878929,0,0,,2660.0,"727488081.851686,957312081.851686",2660,left_cw1,727488081.8516864,957312081.8516864,left_cw1,2660.0
7.5885919964408135,7.366826082683113,4.4385470755402885,2.9282790071428244,0,0,,1620.0,"632448081.851686,772416081.851686",1620,left_cw0,632448081.8516864,772416081.8516864,left_cw0,1620.0
7.590577944396459,7.368812030638759,4.539392303029868,2.8294197276088906,0,0,,1620.0,"822528081.851686,962496081.851686",1620,left_cw1,822528081.8516864,962496081.8516864,left_cw1,1620.0
7.563297020413393,7.368909614527014,4.382615307612211,2.986294306914803,0,0,,1420.0,"388800081.851686,511488081.851686",1420,left_cw1,388800081.8516864,511488081.8516864,left_cw1,1420.0
7.447200178356793,7.373278207104226,4.620252153493888,2.753026053610339,0,0,,540.0,"19008081.8516864,65664081.8516864",540,0rev_cw0,19008081.851686403,65664081.8516864,0rev_cw0,540.0
7.723419851014077,7.3757128010483,4.635239722485659,2.740473078562641,0,0,,2540.0,"554688081.851686,774144081.851686",2540,left_cw0,554688081.8516864,774144081.8516864,left_cw0,2540.0
7.571594820982581,7.377207415096201,4.3879341371948195,2.9892732779013818,0,0,,1420.0,"25920081.8516864,148608081.851686",1420,left_cw0,25920081.851686403,148608081.85168642,left_cw0,1420.0
7.448042761244588,7.379596491566286,4.685787343239821,2.693809148326465,0,0,,500.0,"209088081.851686,252288081.851686",500,0rev_cw0,209088081.8516864,252288081.8516864,0rev_cw0,500.0
7.44865606041518,7.3802097907368776,4.662543541442248,2.7176662492946297,0,0,,500.0,"744768081.851686,787968081.851686",500,0rev_cw0,744768081.8516864,787968081.8516864,0rev_cw0,500.0
7.690014934489206,7.3806377955432785,4.4027883387919236,2.977849456751355,0,0,,2260.0,"136512081.851686,331776081.851686",2260,left_cw1,136512081.8516864,331776081.85168636,left_cw1,2260.0
7.575109768943698,7.386198064631583,4.431326346566968,2.9548717180646147,0,0,,1380.0,"388800081.851686,508032081.851686",1380,left_cw0,388800081.8516864,508032081.8516864,left_cw0,1380.0
7.593249687264015,7.387910878229107,4.584321059970063,2.8035898182590446,0,0,,1500.0,"632448081.851686,762048081.851686",1500,left_cw1,632448081.8516864,762048081.8516864,left_cw1,1500.0
7.467309913869032,7.387912241042201,4.441453877034361,2.9464583640078406,0,0,,580.0,"537408081.851686,587520081.851686",580,0rev_cw0,537408081.8516864,587520081.8516864,0rev_cw0,580.0
7.5880234131092585,7.388160305648615,4.39276430803453,2.995395997614085,0,0,,1460.0,"198720081.851686,324864081.851686",1460,left_cw0,198720081.8516864,324864081.85168636,left_cw0,1460.0
7.6017142928048145,7.390899782195643,4.685766166729206,2.7051336154664374,0,0,,1540.0,"114048081.851686,247104081.851686",1540,left_cw0,114048081.8516864,247104081.85168642,left_cw0,1540.0
7.752912296937411,7.394253843823106,4.434779134604927,2.9594747092181786,0,0,,2620.0,"900288081.851686,1126656081.85169",2620,left_cw0,900288081.8516864,1126656081.8516865,left_cw0,2620.0
7.605385961573997,7.40004715253909,4.662150515074879,2.73789663746421,0,0,,1500.0,"476928081.851686,606528081.851686",1500,left_cw0,476928081.8516864,606528081.8516865,left_cw0,1500.0
7.74975940494655,7.402052354980773,4.5763211054694874,2.825731249511285,0,0,,2540.0,"727488081.851686,946944081.851686",2540,left_cw1,727488081.8516864,946944081.8516864,left_cw1,2540.0
7.75627653313321,7.403093781593169,4.645665119241441,2.7574286623517286,0,0,,2580.0,"381888081.851686,604800081.851686",2580,left_cw0,381888081.8516864,604800081.8516865,left_cw0,2580.0
7.609150218117751,7.403811409082843,4.663836550468822,2.739974858614021,0,0,,1500.0,"286848081.851686,416448081.851686",1500,left_cw0,286848081.8516864,416448081.8516864,left_cw0,1500.0
7.591546615601754,7.4081106128639025,4.371297786784934,3.0368128260789677,0,0,,1340.0,"751680081.851686,867456081.851686",1340,left_cw0,751680081.8516864,867456081.8516864,left_cw0,1340.0
7.628982222154725,7.412692009971289,4.512521793622068,2.900170216349221,0,0,,1580.0,"632448081.851686,768960081.851686",1580,left_cw0,632448081.8516864,768960081.8516864,left_cw0,1580.0
7.626128261991683,7.415313751382511,4.679007241032652,2.7363065103498596,0,0,,1540.0,"476928081.851686,609984081.851686",1540,left_cw0,476928081.8516864,609984081.8516865,left_cw0,1540.0
7.494992689668091,7.4155950168412605,4.49429041424963,2.9213046025916305,0,0,,580.0,"900288081.851686,950400081.851686",580,0rev_cw0,900288081.8516864,950400081.8516864,0rev_cw0,580.0
7.6314231289098675,7.420608618300696,4.584831800074833,2.8357768182258627,0,0,,1540.0,"96768081.8516864,229824081.851686",1540,left_cw1,96768081.8516864,229824081.85168642,left_cw1,1540.0
7.784620740244191,7.425962287129885,4.5504749143395715,2.875487372790314,0,0,,2620.0,"191808081.851686,418176081.851686",2620,left_cw0,191808081.8516864,418176081.85168636,left_cw0,2620.0
7.785811638182093,7.432628886642052,4.594161039699385,2.838467846942667,0,0,,2580.0,"191808081.851686,414720081.851686",2580,left_cw0,191808081.8516864,414720081.85168636,left_cw0,2580.0
7.779281798755058,7.437050450363545,4.540040460282544,2.897009990081001,0,0,,2500.0,"554688081.851686,770688081.851686",2500,right_cw1,554688081.8516864,770688081.8516864,right_cw1,2500.0
7.7528203023750715,7.43796746185488,4.4925694809091015,2.9453979809457786,0,0,,2300.0,"309312081.851686,508032081.851686",2300,left_cw1,309312081.8516864,508032081.8516864,left_cw1,2300.0
7.753100421508711,7.43824758098852,4.449264321236015,2.9889832597525046,0,0,,2300.0,"136512081.851686,335232081.851686",2300,left_cw1,136512081.8516864,335232081.85168636,left_cw1,2300.0
7.665925614302834,7.43868399897087,4.463139893774462,2.975544105196407,0,0,,1660.0,"96768081.8516864,240192081.851686",1660,left_cw1,96768081.8516864,240192081.85168642,left_cw1,1660.0
7.6301535455677385,7.441241841255623,4.494803086981635,2.9464387542739874,0,0,,1380.0,"25920081.8516864,145152081.851686",1380,left_cw1,25920081.851686403,145152081.85168642,left_cw1,1380.0
7.6658352881223575,7.444069374364657,4.4356254674420486,3.0084439069226088,0,0,,1620.0,"269568081.851686,409536081.851686",1620,left_cw0,269568081.8516864,409536081.8516864,left_cw0,1620.0
7.648167805879282,7.448304698418639,4.483614019744731,2.9646906786739073,0,0,,1460.0,"371520081.851686,497664081.851686",1460,left_cw0,371520081.8516864,497664081.8516864,left_cw0,1460.0
7.6439103372015715,7.449522931315192,4.5168029221637065,2.932720009151485,0,0,,1420.0,"734400081.851686,857088081.851686",1420,left_cw0,734400081.8516864,857088081.8516864,left_cw0,1420.0
7.815286352307029,7.45115219761846,4.618610903289606,2.8325412943288537,0,0,,2660.0,"554688081.851686,784512081.851686",2660,left_cw1,554688081.8516864,784512081.8516864,left_cw1,2660.0
7.5329990516588605,7.45360137883203,4.660598296169609,2.793003082662421,0,0,,580.0,"917568081.851686,967680081.851686",580,0rev_cw1,917568081.8516864,967680081.8516864,0rev_cw1,580.0
7.533598879640955,7.454201206814124,4.509624546233435,2.94457666058069,0,0,,580.0,"1728081.8516864,51840081.8516864",580,0rev_cw0,1728081.8516864013,51840081.8516864,0rev_cw0,580.0
7.802337272791494,7.454630222825717,4.522221628685251,2.9324085941404663,0,0,,2540.0,"744768081.851686,964224081.851686",2540,right_cw0,744768081.8516864,964224081.8516864,right_cw0,2540.0
7.825004838245604,7.455394981982771,4.530601128603952,2.9247938533788185,0,0,,2700.0,"191808081.851686,425088081.851686",2700,left_cw1,191808081.8516864,425088081.85168636,left_cw1,2700.0
7.639155707384466,7.455719704646615,4.432093282904309,3.023626421742306,0,0,,1340.0,"388800081.851686,504576081.851686",1340,left_cw1,388800081.8516864,504576081.8516864,left_cw1,1340.0
7.655711186105263,7.455848078644619,4.372476860357431,3.083371218287188,0,0,,1460.0,"25920081.8516864,152064081.851686",1460,left_cw1,25920081.851686403,152064081.85168642,left_cw1,1460.0
7.804966943701306,7.457259893735529,4.745904379165274,2.7113555145702546,0,0,,2540.0,"934848081.851686,1154304081.85169",2540,left_cw0,934848081.8516864,1154304081.8516865,left_cw0,2540.0
7.658170072422294,7.4583069649616505,4.7015950326480995,2.7567119323135505,0,0,,1460.0,"459648081.851686,585792081.851686",1460,left_cw1,459648081.8516864,585792081.8516865,left_cw1,1460.0
