cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.189567640430449,7.121121370752147,4.4092519442204665,2.7118694265316803,0,0,,500.0,"727488081.851686,770688081.851686",500,0rev_cw1,727488081.8516864,770688081.8516864,0rev_cw1,500.0
7.231961718360884,7.158039747108317,4.402872207409154,2.7551675396991633,0,0,,540.0,"727488081.851686,774144081.851686",540,0rev_cw1,727488081.8516864,774144081.8516864,0rev_cw1,540.0
7.242632383804104,7.174186114125801,4.454979932893528,2.719206181232274,0,0,,500.0,"554688081.851686,597888081.851686",500,0rev_cw0,554688081.8516864,597888081.8516864,0rev_cw0,500.0
7.274213463618365,7.205767193940062,4.483823657717913,2.7219435362221494,0,0,,500.0,"191808081.851686,235008081.851686",500,0rev_cw1,191808081.8516864,235008081.8516864,0rev_cw1,500.0
7.317570825298484,7.243648854045917,4.474176003146644,2.769472850899273,0,0,,540.0,"191808081.851686,238464081.851686",540,0rev_cw0,191808081.8516864,238464081.8516864,0rev_cw0,540.0
7.31255432492315,7.244108055244848,4.475500709235343,2.7686073460095044,0,0,,500.0,"364608081.851686,407808081.851686",500,0rev_cw1,364608081.8516864,407808081.8516864,0rev_cw1,500.0
7.344989149935417,7.276542880257114,4.563706610914672,2.7128362693424433,0,0,,500.0,"381888081.851686,425088081.851686",500,0rev_cw0,381888081.8516864,425088081.8516864,0rev_cw0,500.0
7.370303886885223,7.30185761720692,4.59961571082755,2.7022419063793706,0,0,,500.0,"19008081.8516864,62208081.8516864",500,0rev_cw0,19008081.851686403,62208081.8516864,0rev_cw0,500.0
7.37689731139672,7.302975340144153,4.459684229612107,2.843291110532045,0,0,,540.0,"900288081.851686,946944081.851686",540,0rev_cw0,900288081.8516864,946944081.8516864,0rev_cw0,540.0
7.387486342673342,7.308088669846511,4.466434164775399,2.841654505071112,0,0,,580.0,"727488081.851686,777600081.851686",580,0rev_cw1,727488081.8516864,777600081.8516864,0rev_cw1,580.0
7.398877637497376,7.3194799646705455,4.410862046403057,2.908617918267488,0,0,,580.0,"364608081.851686,414720081.851686",580,0rev_cw1,364608081.8516864,414720081.8516864,0rev_cw1,580.0
7.411291665051371,7.342845395373068,4.563459694969422,2.7793857004036453,0,0,,500.0,"1728081.8516864,44928081.8516864",500,0rev_cw1,1728081.8516864013,44928081.8516864,0rev_cw1,500.0
7.422768859350867,7.354322589672565,4.628870941630282,2.7254516480422826,0,0,,500.0,"917568081.851686,960768081.851686",500,0rev_cw0,917568081.8516864,960768081.8516864,0rev_cw0,500.0
7.447200178356793,7.373278207104226,4.620252153493888,2.753026053610339,0,0,,540.0,"19008081.8516864,65664081.8516864",540,0rev_cw0,19008081.851686403,65664081.8516864,0rev_cw0,540.0
7.448042761244588,7.379596491566286,4.685787343239821,2.693809148326465,0,0,,500.0,"209088081.851686,252288081.851686",500,0rev_cw0,209088081.8516864,252288081.8516864,0rev_cw0,500.0
7.44865606041518,7.3802097907368776,4.662543541442248,2.7176662492946297,0,0,,500.0,"744768081.851686,787968081.851686",500,0rev_cw0,744768081.8516864,787968081.8516864,0rev_cw0,500.0
7.467309913869032,7.387912241042201,4.441453877034361,2.9464583640078406,0,0,,580.0,"537408081.851686,587520081.851686",580,0rev_cw0,537408081.8516864,587520081.8516864,0rev_cw0,580.0
7.494992689668091,7.4155950168412605,4.49429041424963,2.9213046025916305,0,0,,580.0,"900288081.851686,950400081.851686",580,0rev_cw0,900288081.8516864,950400081.8516864,0rev_cw0,580.0
7.5329990516588605,7.45360137883203,4.660598296169609,2.793003082662421,0,0,,580.0,"917568081.851686,967680081.851686",580,0rev_cw1,917568081.8516864,967680081.8516864,0rev_cw1,580.0
7.533598879640955,7.454201206814124,4.509624546233435,2.94457666058069,0,0,,580.0,"1728081.8516864,51840081.8516864",580,0rev_cw0,1728081.8516864013,51840081.8516864,0rev_cw0,580.0
7.534016460713911,7.465570191035608,4.7308974475249475,2.7346727435106604,0,0,,500.0,"571968081.851686,615168081.851686",500,0rev_cw0,571968081.8516864,615168081.8516864,0rev_cw0,500.0
7.5506411109028395,7.4657677365017445,4.523021674570809,2.942746061930935,0,0,,620.0,"191808081.851686,245376081.851686",620,0rev_cw1,191808081.8516864,245376081.8516864,0rev_cw1,620.0
7.551415063858213,7.466541689457118,4.433766353816168,3.0327753356409506,0,0,,620.0,"1728081.8516864,55296081.8516864",620,0rev_cw0,1728081.8516864013,55296081.8516864,0rev_cw0,620.0
7.561863969102463,7.482466296275632,4.646687473763346,2.8357788225122857,0,0,,580.0,"554688081.851686,604800081.851686",580,0rev_cw1,554688081.8516864,604800081.8516864,0rev_cw1,580.0
7.594052642675511,7.509179268274416,4.489930620707839,3.019248647566577,0,0,,620.0,"364608081.851686,418176081.851686",620,0rev_cw1,364608081.8516864,418176081.8516864,0rev_cw1,620.0
7.589630583449109,7.5211843137708065,4.809095276134946,2.71208903763586,0,0,,500.0,"399168081.851686,442368081.851686",500,0rev_cw0,399168081.8516864,442368081.8516864,0rev_cw0,500.0
7.608421024805848,7.523547650404753,4.589313215519631,2.9342344348851213,0,0,,620.0,"554688081.851686,608256081.851686",620,0rev_cw1,554688081.8516864,608256081.8516864,0rev_cw1,620.0
7.609944263983776,7.530546591156945,4.494469915184895,3.03607667597205,0,0,,580.0,"710208081.851686,760320081.851686",580,0rev_cw0,710208081.8516864,760320081.8516864,0rev_cw0,580.0
7.619299007926271,7.534425633525176,4.5787429220014255,2.955682711523751,0,0,,620.0,"727488081.851686,781056081.851686",620,0rev_cw1,727488081.8516864,781056081.8516864,0rev_cw1,620.0
7.6174100858664335,7.548963816188131,4.827088753417278,2.7218750627708532,0,0,,500.0,"36288081.8516864,79488081.8516864",500,0rev_cw0,36288081.8516864,79488081.8516864,0rev_cw0,500.0
7.652484771295408,7.567611396894313,4.675991653244137,2.8916197436501765,0,0,,620.0,"917568081.851686,971136081.851686",620,0rev_cw1,917568081.8516864,971136081.8516864,0rev_cw1,620.0
7.662474881114838,7.583077208288008,4.726316177797134,2.8567610304908735,0,0,,580.0,"191808081.851686,241920081.851686",580,0rev_cw1,191808081.8516864,241920081.8516864,0rev_cw1,580.0
7.659289116622929,7.585367145370363,4.732042060700071,2.8533250846702924,0,0,,540.0,"1728081.8516864,48384081.8516864",540,0rev_cw1,1728081.8516864013,48384081.8516864,0rev_cw1,540.0
7.671565511031337,7.5866921366302424,4.524020324891057,3.062671811739185,0,0,,620.0,"537408081.851686,590976081.851686",620,0rev_cw0,537408081.8516864,590976081.8516864,0rev_cw0,620.0
7.669979337416645,7.5905816645898145,4.539900766618831,3.050680897970984,0,0,,580.0,"174528081.851686,224640081.851686",580,0rev_cw0,174528081.8516864,224640081.8516864,0rev_cw0,580.0
7.681458533907114,7.596585159506019,4.45558794443259,3.140997215073429,0,0,,620.0,"174528081.851686,228096081.851686",620,0rev_cw0,174528081.8516864,228096081.8516864,0rev_cw0,620.0
7.713321056025798,7.628447681624703,4.734922229827048,2.8935254517976543,0,0,,620.0,"744768081.851686,798336081.851686",620,0rev_cw1,744768081.8516864,798336081.8516864,0rev_cw1,620.0
7.703285606460644,7.634839336782341,4.757810562129381,2.8770287746529597,0,0,,500.0,"174528081.851686,217728081.851686",500,0rev_cw1,174528081.8516864,217728081.8516864,0rev_cw1,500.0
7.7208835016141695,7.641485828787339,4.454477080015123,3.1870087487722154,0,0,,580.0,"813888081.851686,864000081.851686",580,0rev_cw0,813888081.8516864,864000081.8516864,0rev_cw0,580.0
7.7219280713554594,7.653481801677157,4.9186593316612335,2.7348224700159234,0,0,,500.0,"226368081.851686,269568081.851686",500,0rev_cw0,226368081.8516864,269568081.85168636,0rev_cw0,500.0
7.73409669669885,7.654699023872019,4.5621814544991235,3.0925175693728955,0,0,,580.0,"347328081.851686,397440081.851686",580,0rev_cw0,347328081.8516864,397440081.8516864,0rev_cw0,580.0
7.74526210675533,7.654913030779971,4.589994466350328,3.064918564429643,0,0,,660.0,"191808081.851686,248832081.851686",660,0rev_cw1,191808081.8516864,248832081.8516864,0rev_cw1,660.0
7.752309575476169,7.667436201075074,4.755106153494439,2.9123300475806353,0,0,,620.0,"381888081.851686,435456081.851686",620,0rev_cw1,381888081.8516864,435456081.8516864,0rev_cw1,620.0
7.7515213302571535,7.672123657430323,4.547971071950888,3.1241525854794348,0,0,,580.0,"883008081.851686,933120081.851686",580,0rev_cw1,883008081.8516864,933120081.8516864,0rev_cw1,580.0
7.761538144644913,7.676664770243818,4.6410336992677825,3.0356310709760357,0,0,,620.0,"900288081.851686,953856081.851686",620,0rev_cw1,900288081.8516864,953856081.8516864,0rev_cw1,620.0
7.750232986088921,7.681786716410619,4.746465130123056,2.9353215862875626,0,0,,500.0,"813888081.851686,857088081.851686",500,0rev_cw1,813888081.8516864,857088081.8516864,0rev_cw1,500.0
7.773938094591717,7.683589018616358,4.529044604608366,3.1545444140079923,0,0,,660.0,"1728081.8516864,58752081.8516864",660,0rev_cw1,1728081.8516864013,58752081.8516864,0rev_cw1,660.0
7.755561321930688,7.687115052252385,4.915449689954357,2.7716653622980276,0,0,,500.0,"762048081.851686,805248081.851686",500,0rev_cw0,762048081.8516864,805248081.8516864,0rev_cw0,500.0
7.7616692905582125,7.687747319305646,4.926087117967749,2.7616602013378966,0,0,,540.0,"209088081.851686,255744081.851686",540,0rev_cw0,209088081.8516864,255744081.8516864,0rev_cw0,540.0
7.758720997610119,7.690274727931817,4.940526926624365,2.7497478013074512,0,0,,500.0,"589248081.851686,632448081.851686",500,0rev_cw0,589248081.8516864,632448081.8516864,0rev_cw0,500.0
7.781723309413587,7.691374233438228,4.6496141196334815,3.041760113804746,0,0,,660.0,"19008081.8516864,76032081.8516864",660,0rev_cw1,19008081.851686403,76032081.8516864,0rev_cw1,660.0
7.766096884047055,7.697650614368753,4.693658261299051,3.0039923530697017,0,0,,500.0,"641088081.851686,684288081.851686",500,0rev_cw1,641088081.8516864,684288081.8516864,0rev_cw1,500.0
7.8032689754736255,7.712919899498266,4.691695016954674,3.021224882543592,0,0,,660.0,"381888081.851686,438912081.851686",660,0rev_cw1,381888081.8516864,438912081.8516864,0rev_cw1,660.0
7.798539420810183,7.713666046409088,4.513519152146318,3.2001468942627698,0,0,,620.0,"347328081.851686,400896081.851686",620,0rev_cw0,347328081.8516864,400896081.8516864,0rev_cw0,620.0
7.787649433028955,7.713727461776388,4.943294670570598,2.77043279120579,0,0,,540.0,"36288081.8516864,82944081.8516864",540,0rev_cw0,36288081.8516864,82944081.8516864,0rev_cw0,540.0
7.80111059466488,7.732664324986578,4.98168249601,2.7509818289765775,0,0,,500.0,"934848081.851686,978048081.851686",500,0rev_cw0,934848081.8516864,978048081.8516864,0rev_cw0,500.0
7.814562090326984,7.735164417500153,4.566936340823579,3.1682280766765736,0,0,,580.0,"520128081.851686,570240081.851686",580,0rev_cw1,520128081.8516864,570240081.8516865,0rev_cw1,580.0
7.823820047899595,7.7389466734985,4.590957771657208,3.1479889018412925,0,0,,620.0,"710208081.851686,763776081.851686",620,0rev_cw0,710208081.8516864,763776081.8516864,0rev_cw0,620.0
7.8158818558592085,7.747435586180906,4.870455181371004,2.8769804048099012,0,0,,500.0,"86400081.8516864,129600081.851686",500,0rev_cw1,86400081.8516864,129600081.8516864,0rev_cw1,500.0
7.817591474551195,7.749145204872892,4.988074383205942,2.7610708216669506,0,0,,500.0,"416448081.851686,459648081.851686",500,0rev_cw0,416448081.8516864,459648081.8516864,0rev_cw0,500.0
7.828941377031345,7.749543704204514,4.485093077508348,3.264450626696166,0,0,,580.0,"641088081.851686,691200081.851686",580,0rev_cw1,641088081.8516864,691200081.8516864,0rev_cw1,580.0
7.840628588897436,7.750279512922077,4.688756276937011,3.061523235985066,0,0,,660.0,"554688081.851686,611712081.851686",660,0rev_cw1,554688081.8516864,611712081.8516864,0rev_cw1,660.0
7.823172087191298,7.754725817512996,4.72470277133733,3.030023046175666,0,0,,500.0,"468288081.851686,511488081.851686",500,0rev_cw0,468288081.8516864,511488081.8516864,0rev_cw0,500.0
7.841155893459292,7.756282519058197,4.862675192002965,2.893607327055232,0,0,,620.0,"934848081.851686,988416081.851686",620,0rev_cw1,934848081.8516864,988416081.8516864,0rev_cw1,620.0
7.8309385700196845,7.757016598767118,4.714163562636354,3.0428530361307646,0,0,,540.0,"883008081.851686,929664081.851686",540,0rev_cw1,883008081.8516864,929664081.8516864,0rev_cw1,540.0
7.856196339916925,7.77132296551583,4.60600005072634,3.1653229147894892,0,0,,620.0,"796608081.851686,850176081.851686",620,0rev_cw0,796608081.8516864,850176081.8516864,0rev_cw0,620.0
7.862144233344013,7.771795157368654,4.754274024311884,3.01752113305677,0,0,,660.0,"744768081.851686,801792081.851686",660,0rev_cw1,744768081.8516864,801792081.8516864,0rev_cw1,660.0
7.8629927803118065,7.772643704336447,4.627851734106084,3.1447919702303637,0,0,,660.0,"364608081.851686,421632081.851686",660,0rev_cw1,364608081.8516864,421632081.8516864,0rev_cw1,660.0
7.862652118294657,7.7832544454678265,4.5743944082684385,3.208860037199388,0,0,,580.0,"278208081.851686,328320081.851686",580,0rev_cw1,278208081.8516864,328320081.8516864,0rev_cw1,580.0
7.857217570259163,7.783295599006596,4.79114301362948,2.992152585377116,0,0,,540.0,"710208081.851686,756864081.851686",540,0rev_cw0,710208081.8516864,756864081.8516864,0rev_cw0,540.0
7.878603252285677,7.788254176310318,4.780577160152574,3.0076770161577437,0,0,,660.0,"209088081.851686,266112081.851686",660,0rev_cw1,209088081.8516864,266112081.8516864,0rev_cw1,660.0
7.858804746901827,7.790358477223524,4.792503479590667,2.997854997632857,0,0,,500.0,"103680081.851686,146880081.851686",500,0rev_cw0,103680081.8516864,146880081.85168642,0rev_cw0,500.0
7.879551299876836,7.794677925475741,4.852436135740817,2.9422417897349233,0,0,,620.0,"19008081.8516864,72576081.8516864",620,0rev_cw1,19008081.851686403,72576081.8516864,0rev_cw1,620.0
7.880711179422799,7.795837805021704,4.535039957310154,3.26079784771155,0,0,,620.0,"623808081.851686,677376081.851686",620,0rev_cw0,623808081.8516864,677376081.8516864,0rev_cw0,620.0
7.887192413722289,7.79684333774693,4.773342576876666,3.0235007608702644,0,0,,660.0,"571968081.851686,628992081.851686",660,0rev_cw1,571968081.8516864,628992081.8516864,0rev_cw1,660.0
7.884951372379014,7.800077997977919,4.478312613049558,3.321765384928361,0,0,,620.0,"451008081.851686,504576081.851686",620,0rev_cw0,451008081.8516864,504576081.8516864,0rev_cw0,620.0
7.887442104800828,7.802568730399733,4.436048121387859,3.3665206090118733,0,0,,620.0,"813888081.851686,867456081.851686",620,0rev_cw1,813888081.8516864,867456081.8516864,0rev_cw1,620.0
7.875933997650951,7.8074877279726485,4.874679635932502,2.9328080920401467,0,0,,500.0,"276480081.851686,319680081.851686",500,0rev_cw0,276480081.8516864,319680081.8516864,0rev_cw0,500.0
7.876376175331872,7.80792990565357,5.041207278074895,2.766722627578675,0,0,,500.0,"53568081.8516864,96768081.8516864",500,0rev_cw0,53568081.8516864,96768081.8516864,0rev_cw0,500.0
